character_id,character_name,phase,timeline,event,platform,platform_label,post_id,content,image_file,visibility,unlock_condition,timestamp_mode,notes
shatang,砂糖,开局前历史,4月4日,大号历史：“今天的草莓奶盖是粉色的！感觉像把小小的好运吸进肚子里了 明天也要元气一点。”,public_feed,推搭大号（公开）,st_tw_hist_001,今天的草莓奶盖是粉色的！感觉像把小小的好运吸进肚子里了 明天也要元气一点。,images/img_st_tw_hist_001.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,4月8日,小号历史：“她今天又笑得好像真的很开心。”,private_alt,推搭小号（私密）,st_alt_hist_001,她今天又笑得好像真的很开心。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月8日,小号历史：“我讨厌她。”,private_alt,推搭小号（私密）,st_alt_hist_002,我讨厌她。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月8日,小号历史：“可是没有她，谁会喜欢我。”,private_alt,推搭小号（私密）,st_alt_hist_003,可是没有她，谁会喜欢我。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月10日,大号历史：“早八真的会偷走灵魂……但是我居然没有迟到！给自己加一颗糖。”,public_feed,推搭大号（公开）,st_tw_hist_002,早八真的会偷走灵魂……但是我居然没有迟到！给自己加一颗糖。,images/img_st_tw_hist_002.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,4月16日,大号历史：“试了一下新的偶像风小裙子！还没整理好全套，先偷偷发一张半成品～”,public_feed,推搭大号（公开）,st_tw_hist_003,试了一下新的偶像风小裙子！还没整理好全套，先偷偷发一张半成品～,images/st_tw_hist_003.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,4月21日,小号历史：“不是喜欢我，是喜欢那张照片。”,private_alt,推搭小号（私密）,st_alt_hist_004,不是喜欢我，是喜欢那张照片。,images/st_alt_hist_004.png,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月21日,小号历史：“大号评论区好热闹。好吵。”,private_alt,推搭小号（私密）,st_alt_hist_005,大号评论区好热闹。好吵。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月21日,小号历史：“我回了十几条谢谢。每个谢谢都像贴纸。”,private_alt,推搭小号（私密）,st_alt_hist_006,我回了十几条谢谢。每个谢谢都像贴纸。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月21日,小号历史：“贴在烂掉的地方。”,private_alt,推搭小号（私密）,st_alt_hist_007,贴在烂掉的地方。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月21日,小号历史：“发完就安静了。五分钟。”,private_alt,推搭小号（私密）,st_alt_hist_008,发完就安静了。五分钟。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,4月22日,大号历史：“今天把桌面收拾成了可以拍照的样子，五分钟后又被我弄乱了。可恶！”,public_feed,推搭大号（公开）,st_tw_hist_004,今天把桌面收拾成了可以拍照的样子，五分钟后又被我弄乱了。可恶！,images/st_tw_hist_004.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,4月28日,大号历史：“被朋友说我什么都要拍下来。那怎么办嘛，普通日子也会有很可爱的瞬间啊。”,public_feed,推搭大号（公开）,st_tw_hist_005,被朋友说我什么都要拍下来。那怎么办嘛，普通日子也会有很可爱的瞬间啊。,images/st_tw_hist_005.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,5月4日,大号历史：“今天是轻女仆！不是很专业的那种，只是砂糖味女仆，请查收。”,public_feed,推搭大号（公开）,st_tw_hist_006,今天是轻女仆！不是很专业的那种，只是砂糖味女仆，请查收。,images/st_tw_hist_006.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,5月10日,大号历史：“假发刘海又翘成不认识我的样子了……不过拍出来意外还行，算它将功补过。”,public_feed,推搭大号（公开）,st_tw_hist_007,假发刘海又翘成不认识我的样子了……不过拍出来意外还行，算它将功补过。,images/st_tw_hist_007.png,public,always,fixed_history,推特大号历史橱窗：开局前固定时间，主要让玩家第一眼喜欢砂糖
shatang,砂糖,开局前历史,5月10日,小号历史：“如果同学看到大号，会觉得我是那种好相处的人吗。”,private_alt,推搭小号（私密）,st_alt_hist_009,如果同学看到大号，会觉得我是那种好相处的人吗。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
shatang,砂糖,开局前历史,5月10日,小号历史：“如果看到这里呢。”,private_alt,推搭小号（私密）,st_alt_hist_010,如果看到这里呢。,,secret,alt_found_or_event_replay,fixed_history,小号历史：固定时间；按爆发组连发，发现小号后可回看
